Name,English Name,Party,Session,Gender,Photo Filename
丁學忠,"TING,Hsueh-Chung",中國國民黨,第 11 屆,男,110001.jpg
牛煦庭,NIU，Hsu-Ting,中國國民黨,第 11 屆,男,110002.jpg
王世堅,"WANG,SHIH-CHIEN",民主進步黨,第 11 屆,男,110003.jpg
王育敏,YU MIN WANG,中國國民黨,第 11 屆,女,110004.jpg
王定宇,"WANG,TING-YU",民主進步黨,第 11 屆,男,110005.jpg
王美惠,"Wang,Mei-Hui",民主進步黨,第 11 屆,女,110006.jpg
王鴻薇,wang hung wei,中國國民黨,第 11 屆,女,110007.jpg
伍麗華Saidhai‧Tahovecahe,"Wu,Li-Hua",民主進步黨,第 11 屆,女,110008.jpg
江啟臣,CHIANG CHI-CHEN,中國國民黨,第 11 屆,男,110009.jpg
何欣純,"HO, HSIN-CHUN",民主進步黨,第 11 屆,女,110010.jpg
吳沛憶,"WU,PEI-YI",民主進步黨,第 11 屆,女,110011.jpg
吳宗憲,"Wu,Tsung-Hsien",中國國民黨,第 11 屆,男,110012.jpg
吳秉叡,"Wu,Ping-Jui",民主進步黨,第 11 屆,男,110013.jpg
吳思瑤,"Wu,Szu-Yao",民主進步黨,第 11 屆,女,110014.jpg
吳春城,"WU,CHUN-CHENG",台灣民眾黨,第 11 屆,男,110015.jpg
吳琪銘,"wu,chi-ming",民主進步黨,第 11 屆,男,110016.jpg
呂玉玲,"LU,YU-LING",中國國民黨,第 11 屆,女,110017.jpg
李坤城,LEE KUEN-CHENG,民主進步黨,第 11 屆,男,110018.jpg
李昆澤,"Lee,Kun-Tse",民主進步黨,第 11 屆,男,110019.jpg
李彥秀,LEE YEN HSIU,中國國民黨,第 11 屆,女,110020.jpg
李柏毅,Lee Po Yi,民主進步黨,第 11 屆,男,110021.jpg
沈伯洋,Puma Shen,民主進步黨,第 11 屆,男,110022.jpg
沈發惠,"SHEN,FA-HUI",民主進步黨,第 11 屆,男,110023.jpg
林月琴,LIN YUEH CHIN,民主進步黨,第 11 屆,女,110024.jpg
林沛祥,LIN  PEI-HSIANG,中國國民黨,第 11 屆,男,110025.jpg
